texte,niveau,category,classification,risk_decision,origin,year,month,maroc_relevant
"Salmonella spp. in sesame seeds from Nigeria | nuts, nut products and seeds | Salmonella   - {pathogenic micro-organisms} | Nigeria",CRITIQUE,"nuts, nut products and seeds",border rejection notification,serious,Nigeria,2026,5,1
Detection of STEC in French cheese | milk and milk products | Escherichia coli shigatoxin-producing  - {pathogenic micro-organisms} | France,CRITIQUE,milk and milk products,alert notification,serious,France,2026,5,0
"Aflatoxins in mini corn wafers from Slovakia, raw material from Hungary. | cereals and bakery products | aflatoxins   - {mycotoxins} | Hungary",CRITIQUE,cereals and bakery products,alert notification,serious,Hungary,2026,5,1
shellfish that may be contaminated with ASP toxins | bivalve molluscs and products thereof |  | France,CRITIQUE,bivalve molluscs and products thereof,alert notification,serious,France,2026,5,0
Hard plastic found in aioli from Belgien  | other food product / mixed |  | Belgium,CRITIQUE,other food product / mixed,alert notification,potentially serious,Belgium,2026,5,0
"Aflatoxins in blanched, ground almonds from Spain | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Spain",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Spain,2026,5,1
"Salmonella spp en brotes germinados procedentes de España // Salmonella spp. in sprouted seeds from Spain | nuts, nut products and seeds | Salmonella   - {non-pathogenic micro-organisms} | Spain",CRITIQUE,"nuts, nut products and seeds",information notification for attention,serious,Spain,2026,5,1
"Aflatoxins and ochratoxin A in cayenne pepper from Turkey | herbs and spices | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins},ochratoxin A   - {mycotoxins} | Türkiye",CRITIQUE,herbs and spices,information notification for attention,serious,Türkiye,2026,5,1
Depasire LMA acizi grasi trans in produsul napolitane glazurate cu ciocolata dinTurcia. /// Exceeding the MRL for trans fatty acids in the product chocolate-glazed wafers from Turkey | cereals and bakery products | trans fatty acids  too high content - {composition} | Türkiye,ATTENTION,cereals and bakery products,information notification for attention,potential risk,Türkiye,2026,5,1
mercury in fresh swordfish fillets | fish and fish products | mercury   - {heavy metals} | Sri Lanka,CRITIQUE,fish and fish products,information notification for attention,serious,Sri Lanka,2026,5,1
"aflatoxin B in sesame seed from the Netherlands  | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins} | Denmark",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Denmark,2026,5,1
"        Excessive levels of ochratoxin A found in coffee supplied by Italy, originating from Ethiopia                           | cocoa and cocoa preparations, coffee and tea | ochratoxin A   - {mycotoxins} | Ethiopia",CRITIQUE,"cocoa and cocoa preparations, coffee and tea",alert notification,serious,Ethiopia,2026,5,0
Clothianidin in rice from Pakistan | cereals and bakery products | clothianidin   - {pesticide residues} | Pakistan,CRITIQUE,cereals and bakery products,border rejection notification,not serious,Pakistan,2026,5,1
Ochratoxin A in dried figs from Turkiye | fruits and vegetables | ochratoxin A   - {mycotoxins} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1
Presence of Anisakis spp in chilled smoked wild salmon from Poland | fish and fish products | Anisakis  parasitic infestation with - {parasitic infestation} | Poland,ATTENTION,fish and fish products,information notification for follow-up,potential risk,Poland,2026,5,1
Chlorpyrifos in tomatoes from Egypt | fruits and vegetables | chlorpyrifos  unauthorised substance - {pesticide residues} | Egypt,CRITIQUE,fruits and vegetables,border rejection notification,potentially serious,Egypt,2026,5,1
Acetamiprid in kaki from Spain | fruits and vegetables | acetamiprid   - {pesticide residues} | Spain,CRITIQUE,fruits and vegetables,information notification for attention,serious,Spain,2026,5,1
Listeria monocytogenes in ham from Belgium | meat and meat products (other than poultry) | Listeria monocytogenes  - {pathogenic micro-organisms} | Belgium,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Belgium,2026,5,0
Salmonella Dublin in bovine meat from Germany | meat and meat products (other than poultry) | Salmonella Dublin  - {pathogenic micro-organisms} | Germany,ATTENTION,meat and meat products (other than poultry),information notification for follow-up,potentially serious,Germany,2026,5,0
Non declared allergens in Madar bisquits | cereals and bakery products |  | Iran,CRITIQUE,cereals and bakery products,alert notification,potentially serious,Iran,2026,5,1
Sale of products containing sildenafil via a Dutch online shop | other food product / mixed | sildenafil  unauthorised substance - {composition} | Netherlands,CRITIQUE,other food product / mixed,alert notification,serious,Netherlands,2026,5,0
Salmonella spp in smoked bacon | meat and meat products (other than poultry) | Salmonella   - {pathogenic micro-organisms} | France,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,France,2026,5,0
"Pesticides residues in fresh lychee Litchi chinensis  | fruits and vegetables | chlorantraniliprole   - {pesticide residues},chlorfenapyr   - {pesticide residues},dimethomorph   - {pesticide residues},fluopicolide   - {pesticide residues},iprodione   - {pesticide residues},lambda-cyhalothrin   - {pesticide residues},lufenuron   - {pesticide residues},propamocarb   - {pesticide residues},pyraclostrobin   - {pesticide residues},spirodiclofen unauthorised substance - {pesticide residues} | China",ATTENTION,fruits and vegetables,information notification for attention,potentially serious,China,2026,5,1
Cadmium in mangosteen from Colombia | fruits and vegetables | cadmium   - {heavy metals} | Colombia,CRITIQUE,fruits and vegetables,information notification for attention,serious,Colombia,2026,5,1
Migration of aluminium from barbecue plates from China | food contact materials | aluminium  migration - {composition} | China,CRITIQUE,food contact materials,alert notification,serious,China,2026,5,0
salmonella in various chicken products from Germany | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Germany,CRITIQUE,poultry meat and poultry meat products,information notification for attention,serious,Germany,2026,5,0
"Excessively high nickel content in pecan nuts from the Netherlands | nuts, nut products and seeds | nickel   - {heavy metals} | Denmark",INFO,"nuts, nut products and seeds",information notification for follow-up,not serious,Denmark,2026,5,1
Salmonella Infantis in fresh broiler chicken thigh meat from Poland | poultry meat and poultry meat products | Salmonella infantis  - {pathogenic micro-organisms} | Poland,INFO,poultry meat and poultry meat products,information notification for attention,not serious,Poland,2026,5,0
Allergen celery not declared on the label of dried vegetable mix produced in Hungary | fruits and vegetables | celery  undeclared - {allergens} | Hungary,CRITIQUE,fruits and vegetables,alert notification,serious,Hungary,2026,5,1
Ambrosia in sunflowerseeds from Slovakia | feed materials | ragweed (Ambrosia spp.) seeds  too high content - {composition} | Slovakia,ATTENTION,feed materials,information notification for follow-up,potential risk,Slovakia,2026,5,0
"Incorrect best before date on burrata, from Italy | milk and milk products |  | Italy",ATTENTION,milk and milk products,information notification for follow-up,potential risk,Italy,2026,5,0
MISSING HEALTH CERTIFICATE in Frozen Products | other food product / mixed |  | China,CRITIQUE,other food product / mixed,border rejection notification,not serious,China,2026,5,0
residues of veterinary drugs in honey | honey and royal jelly | semicarbazide (SEM)   - {chemical contamination (other)} | Ukraine,ATTENTION,honey and royal jelly,information notification for attention,potentially serious,Ukraine,2026,5,0
Prochloraz in fresh lemon-lamas from Türkiye | fruits and vegetables | prochloraz   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1
Indoxacarb in fresh tomatoes from Türkiye | fruits and vegetables | indoxacarb   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1
Glass shard in jam from France | confectionery |  | France,CRITIQUE,confectionery,alert notification,serious,France,2026,5,0
Cysticercosis in beef from Germany | meat and meat products (other than poultry) |  | Germany,CRITIQUE,meat and meat products (other than poultry),alert notification,serious,Germany,2026,5,0
Exceedance of carbendazim in long beans from Suriname | fruits and vegetables | carbendazim  unauthorised substance - {pesticide residues} | Suriname,CRITIQUE,fruits and vegetables,information notification for attention,serious,Suriname,2026,5,1
Cadmio en aguacate de Perú // Cadmium in avocados from Peru | fruits and vegetables | cadmium   - {heavy metals} | Peru,CRITIQUE,fruits and vegetables,alert notification,serious,Peru,2026,5,1
Fosthiazate in fresh peppers from Türkiye | fruits and vegetables | fosthiazate   - {pesticide residues} | Türkiye,CRITIQUE,fruits and vegetables,border rejection notification,serious,Türkiye,2026,5,1
Cereulide in infant formula from Ireland  | milk and milk products |  | Ireland,CRITIQUE,milk and milk products,alert notification,serious,Ireland,2026,5,0
"Cereulide in infant formula manufactured in Poland | milk and milk products | cereulide  - {natural toxins (other)} | Ireland,Poland",CRITIQUE,milk and milk products,alert notification,serious,"Ireland,Poland",2026,5,0
"Aflatoxin in groundnuts from Peru | nuts, nut products and seeds | Aflatoxin B1   - {mycotoxins},aflatoxin total  - {mycotoxins} | Peru",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Peru,2026,5,1
Stwierdzenie obecności bakterii Salmonella Enteritidis w produkcie pn. Filet z piersi kurczaka świeży pochodzącego z Polski / S. enteritidis (1 out of 5 in 25 g) in fresh chicken breast fillet from Poland  | poultry meat and poultry meat products | Salmonella Enteritidis  - {pathogenic micro-organisms} | Poland,ATTENTION,poultry meat and poultry meat products,information notification for attention,potentially serious,Poland,2026,5,0
"Undeclared allergen mustard in gravy | soups, broths, sauces and condiments |  | Switzerland",CRITIQUE,"soups, broths, sauces and condiments",alert notification,serious,Switzerland,2026,5,0
"Salmonella spp in Roasted Natural Almond Paste from Vietnam via Singapore | nuts, nut products and seeds |  | Vietnam",CRITIQUE,"nuts, nut products and seeds",alert notification,serious,Vietnam,2026,4,1
Detection of cadmium in a batch of raspberry | fruits and vegetables | cadmium   - {heavy metals} | Serbia,CRITIQUE,fruits and vegetables,information notification for attention,serious,Serbia,2026,4,1
Withdrawal of Live Mussels due to Incorrect Harvesting | bivalve molluscs and products thereof |  | Ireland,INFO,bivalve molluscs and products thereof,information notification for attention,not serious,Ireland,2026,4,0
